ingredient,"Energie, N x facteur Jones, avec fibres (kJ/100 g)","Protéines, N x 6.25 (g/100 g)",Lipides (g/100g),Glucides (g/100g),Sucres (g/100g),Fibres (g/100g),Sel chlorure de sodium (g/100 g),AG saturés (g/100g),Cholestérol (mg/100g),singulier,pluriel
bambou,,"1,61","0,15","1,9","1,15","1,25",,"0,041",0,bambou,bambous
banane,,"1,28","0,39","29,6",,"2,3",,"0,14",0,banane,bananes
bananier,,,,,,,,,,bananier,bananiers
banon,,,,,,,,,,banon,banons
banyul,,,,,,,,,,banyul,banyuls
bar,350,"19,1","0,7",traces,0,0,,"0,2","47,6",bar,bars
barbe-à-papa,,"1,7","5,53","11,9","2,27","0,9",,"3,03",,barbe-à-papa,barbe-à-papas
barbeau,,,,,,,,,,barbeau,barbeaux
barbue,,,,,,,,,,barbue,barbues
barde,3330,"2,92","88,7",0,0,0,,"32,2",57,barde,bardes
bardièr,3060,"4,51","80,6","0,1","0,1",0,,"28,7",,bardièr,bardièrs
barre,,"5,76",23,"50,5","27,9","1,75",,"6,11","99,8",barre,barres
basilic,145,"3,35","0,47","2,55","0,37","3,47",,"0,13",0,basilic,basilics
basse-côte,837,19,"13,2","1,45","< 0,5",0,,"5,94",,basse-côte,basse-côtes
bastogn,,,,,,,,,,bastogn,bastogns
batavia,"74,6","1,25","< 0,5","1,78","1,1","2,1",,"< 0,01",,batavia,batavias
baudroie,,"6,16","34,2","57,1",56,1,,"21,3",23,baudroie,baudroies
bavette,285,"15,1","0,74",traces,0,"< 0,2",,"0,2",25,bavette,bavettes
beaufort,1710,26,34,traces,0,0,,"19,2",,beaufort,beauforts
beaujolais,,,,,,,,,,beaujolais,beaujolaiss
beaume,1480,0,"0,2","86,3",,"0,55",,"0,039",0,beaum,beaums
beef,787,"23,1","10,5","< 0,1","< 0,2","< 1,5",,"4,54","75,5",beef,beefs
beignet,1050,"8,69","14,4","21,2","2,58","1,66",,"1,77",90,beignet,beignets
beni,1410,"8,98","4,24","58,3","3,39","14,1",,"2,6",0,beni,benis
bergamote,,,,,,,,,,bergamote,bergamotes
bergerac,,,,,,,,,,bergerac,bergeracs
berkoukes,,,,,,,,,,berkoukes,berkoukess
berniqu,,,,,,,,,,berniqu,berniqus
bette,"61,1","0,7","< 0,5","1,23","0,8","2,5",,"< 0,01",0,bette,bettes
betterave,180,"1,44","0,4","7,13","6,7","2,5",,"0,15",0,betterave,betteraves
beurre,3700,0,100,0,0,0,,"59,7",0,beurr,beurrs
bicarbonate,"1,7","0,1",0,0,0,0,,0,0,bicarbonate,bicarbonates
biche,,,,,,,,,,biche,biches
bifteck,963,"23,8","15,1","0,0018",0,0,,"6,65","77,5",bifteck,biftecks
bigarade,,,,,,,,,,bigarade,bigarades
bigorneau,963,"23,8","15,1","0,0018",0,0,,"6,65","77,5",bigorneau,bigorneaux
bille,,"0,5",5,93,91,"0,5",,4,,bille,billes
bimi,725,"17,9","7,48","8,45",,0,,"1,88",260,bimi,bimis
biscotte,1660,"12,9","7,22","66,7","5,4","7,08",,"2,51",0,biscotte,biscottes
biscuit,949,"11,6","1,88","39,6","4,25","3,18",,"0,42",,biscuit,biscuits
bison,,,,,,,,,,bison,bisons
bisqu,385,"19,6","1,32","0,11",0,0,,"0,21",128,bisqu,bisqus
bitter,,"0,068","0,066","8,28","7,38","0,05",,0,0,bitter,bitters
bière,,"0,43",traces,"4,1","4,1",0,,traces,0,bière,bières
blanc,201,"10,3","0,17","1,12","0,7",0,,0,0,blanc,blancs
blanquette,474,"15,4",4,"3,1","0,3","0,8",,"2,03","56,6",blanquette,blanquettes
blette,"61,1","0,7","< 0,5","1,23","0,8","2,5",,"< 0,01",0,blette,blettes
bleu,1460,20,30,traces,0,0,,19,103,bleu,bleux
blini,,"5,98","11,2","33,7","3,14","2,35",,"3,19","24,7",blini,blinis
blé,887,"8,03","1,27","41,4",,"1,1",,"0,21",0,blé,blés
bocconcini,,,,,,,,,,bocconcini,bocconcinis
boeuf,963,"23,8","15,1","0,0018",0,0,,"6,65","77,5",boeuf,boeufs
bois,0,0,0,0,0,0,,0,0,bois,boiss
bois-bandé,0,0,0,0,0,0,,0,0,bois-bandé,bois-bandés
boisson,,"0,11","0,042","7,42","7,26","0,025",,"0,0074","0,06",boisson,boissons
bok,"74,4","1,69","< 0,3","1,7","0,4","1,3",,"< 0,01",,bok,boks
bolet,,,,,,,,,,bolet,bolets
bonbon,,"2,5","2,9","4,1","1,19","1,9",,"1,82",,bonbon,bonbons
bonite,675,"22,3","8,01",traces,0,0,,"2,11",,bonite,bonites
bonnet,,,,,,,,,,bonnet,bonnets
bordeaux,,,,,,,,,,bordeaux,bordeauxs
bouchée,1260,"8,39","17,8","26,1","3,03","1,65",,"10,1","39,1",bouchée,bouchées
boudin,1300,"12,2","27,1","4,5","1,12","1,42",,"9,57","82,5",boudin,boudins
boudoir,,"7,98","3,77","79,9","47,9","1,37",,"0,99",109,boudoir,boudoirs
bouillon,,"11,3","11,5","20,8","5,38","0,58",,"6,75",,bouillon,bouillons
boule,143,"< 0,5","< 0,6","0,43","0,18",0,,,,boule,boules
boulette,1480,"20,5",30,traces,traces,0,,"19,8","83,1",boulette,boulettes
boulgour,699,"4,06","8,3","17,4","4,61","3,3",,"0,92",,boulgour,boulgours
bounty,1990,"3,88","23,8","60,2",53,3,,"18,3","5,5",bounty,bountys
bouquet,,"22,8","1,27",,,0,,"0,22",209,bouquet,bouquets
bouquetin,,,,,,,,,,bouquetin,bouquetins
bourbon,,,,,,,,,,bourbon,bourbons
bourgeois,,,,,,,,,,bourgeois,bourgeoiss
bourgogne,,,,,,,,,,bourgogne,bourgognes
bourguignon,,"1,25","43,9","7,85","5,23","0,52",,"3,59",32,bourguignon,bourguignons
bourrache,,,,,,,,,,bourrache,bourraches
boursault,,,,,,,,,,boursault,boursaults
boursin,1510,"7,5","35,3","4,24","1,86",0,,"23,9","69,3",boursin,boursins
bouton,241,"3,15","3,2","4,01","4,01",0,,"2,16","12,1",bouton,boutons
boyau,1170,"17,3",23,"0,88","0,65","0,29",,"9,44","78,5",boyau,boyaus
boîte,946,"23,4","14,8",0,"< 0,25",0,,"1,62",38,boîte,boîtes
branche,70,"0,75","< 0,3","2,48","1,7","1,5",,"< 0,01",,branche,branches
brandade,491,"6,39","6,15","8,57","1,62","1,1",,"3,68",31,brandade,brandades
brandy,,,,,,,,,,brandy,brandys
bresaola,697,"31,6","4,3",0,0,0,,"2,04",65,bresaola,bresaolas
bresse,1420,17,"30,5",traces,0,0,,"19,4",91,bresse,bresses
bretzel,1380,"10,1","7,1","54,6","3,58","3,8",,"0,95",,bretzel,bretzels
brick,1060,"10,4","18,1","12,3","1,6","0,5",,,264,brick,bricks
brie,1130,21,"20,7",traces,"< 0,2",0,,"14,5","83,6",brie,bries
brillat,1550,"9,69","37,5",traces,0,0,,"25,1",122,brillat,brillats
brioche,1490,"8,13","11,8","52,7","12,7","2,2",,"5,01","59,3",brioche,brioches
briochette,1460,"8,56","11,2","51,6",17,3,,"0,92","42,8",briochette,briochettes
brique,1220,"19,4","23,8",traces,"< 0,05",0,,16,"91,8",brique,briques
brisure,1370,"0,94","< 0,5","79,5","56,6","0,9",,"< 0,01",,brisure,brisures
brocciu,,,,,,,,,,brocciu,broccius
brochet,425,"23,1","0,88",traces,0,0,,"0,15",50,brochet,brochets
brocoli,,"2,1","0,78","1,1","1,1","1,5",,"0,2",0,brocoli,brocolis
brousse,,,,,,,,,,brousse,brousses
broute,,,,,,,,,,broute,broutes
brownie,1910,"5,94","25,4","50,6","35,1","3,4",,"7,32","67,6",brownie,brownies
brugnon,,"1,16","0,31","8,9","7,89","1,7",,"0,025",0,brugnon,brugnons
brunost,,,,,,,,,,brunost,brunosts
brède,,"0,72","0,12","2,8","1,66","1,7",,"0,028",0,brède,brèdes
bucatini,,,,,,,,,,bucatini,bucatinis
bulot,555,"23,8","0,57","7,61",0,0,,"0,031",65,bulot,bulots
burrata,,,,,,,,,,burrata,burratas
butternut,,"1,23","0,07",,,,,"0,014",0,butternut,butternuts
bâtonnet,,"6,16","34,2","57,1",56,1,,"21,3",23,bâtonnet,bâtonnets
bètchey,,,,,,,,,,bètchey,bètcheys
bécasse,,,,,,,,,,bécasse,bécasses
béchamel,,"2,56","7,4","6,2","3,1","1,3",,"4,61",30,béchamel,béchamels
bélangèr,,,,,,,,,,bélangèr,bélangèrs
bénédictine,,,,,,,,,,bénédictine,bénédictines
bûche,949,"2,42","10,4",30,"25,6","1,54",,"7,1",,bûche,bûches
cabillaud,420,"23,1","0,73",0,0,0,,"0,14","52,1",cabillaud,cabillauds
cabécou,1170,19,"22,6",traces,0,0,,"17,4",78,cabécou,cabécous
cacahuète,,"25,4","52,5","16,1","10,5",5,,"10,4",0,cacahuète,cacahuètes
cacao,1610,"22,4","20,6","11,6","0,9","29,5",,"12,4",0,cacao,cacaos
cachaça,,,,,,,,,,cachaça,cachaças
cachou,,,,,,,,,,cachou,cachous
caciocavallo,,,,,,,,,,caciocavallo,caciocavallos
cactus,,,,,,,,,,cactus,cactuss
café,489,"2,87","3,69","17,8",14,"0,042",,"2,5",,café,cafés
caille,860,"26,8","10,9",0,0,0,,"3,06",86,caille,cailles
cailler,860,"26,8","10,9",0,0,0,,"3,06",86,cailler,caillers
calamar,1050,"8,69","14,4","21,2","2,58","1,66",,"1,77",90,calamar,calamars
calisson,1850,"7,88",18,"60,3","50,1","2,7",,"1,65",,calisson,calissons
caloupiler,,,,,,,,,,caloupiler,caloupilers
calvados,,0,0,0,0,0,,0,,calvados,calvadoss
cambozola,,,,,,,,,,cambozola,cambozolas
camembert,1170,"19,1","22,5",traces,traces,0,,"15,8",74,camembert,camemberts
campari,,,,,,,,,,campari,camparis
canard,811,"23,3","11,2",0,0,0,,"3,48",119,canard,canards
cancoillotte,635,"13,6","10,5","0,5",traces,0,,"7,06",26,cancoillotte,cancoillottes
canette,,,,,,,,,,canette,canettes
canneberge,1410,"< 0,5",1,"76,4","72,8","5,7",,"0,2",0,canneberge,canneberges
cannelle,,"5,2","3,7","59,4","37,6","2,6",,"2,11","14,8",cannelle,cannelles
canneloni,512,"4,38","5,9","11,8","4,3",traces,,"1,91","11,2",canneloni,cannelonis
cantadou,612,"9,5","11,2","1,98","0,8","0,55",,"3,6",301,cantadou,cantadous
cantal,1580,"24,8",31,traces,"< 0,5",0,,"24,2",,cantal,cantaux
cap,330,"16,1","1,52",traces,0,0,,"0,51",,cap,caps
capellini,,,,,,,,,,capellini,capellinis
cappuccino,1760,"11,9","8,8","70,1",52,"3,3",,"7,47",,cappuccino,cappuccinos
capron,,,,,,,,,,capron,caprons
capucine,,,,,,,,,,capucine,capucines
carambar,,,,,,,,,,carambar,carambars
carambole,,"1,15","0,32","3,9","3,9","2,8",,"0,019",0,carambole,caramboles
caramel,560,"4,35","3,6","20,6",18,traces,,"1,93",12,caramel,caramels
carbonate,170,"3,94","2,1","1,1","0,27","0,6",,"0,34",0,carbonate,carbonates
carcasse,553,"21,6","4,95","0,22","< 0,5",0,,"2,06",,carcass,carcasss
cardamome,1340,"10,8","6,7","40,5",,28,,,0,cardamome,cardamomes
carde,,,,,,,,,,carde,cardes
cardon,,"0,76","0,11","3,63",,"1,7",,"0,012",0,cardon,cardons
carensac,,,,,,,,,,carensac,carensacs
carmine,,,,,,,,,,carmine,carmines
carotte,"78,8","0,55","0,1","2,6","1,3","2,8",,"0,019",0,carotte,carottes
carpaccio,1120,"15,2",23,"0,55","0,5","0,36",,"7,38","55,6",carpaccio,carpaccios
carpe,633,"21,6","7,17",traces,0,0,,"1,27",84,carpe,carpes
carrelet,1010,"13,4","16,8","8,86",,1,,2,60,carrelet,carrelets
carrer,866,"34,1","7,45","0,6",0,0,,"3,03","76,3",carrer,carrers
carvi,1380,"19,8","14,6","11,9","0,64",38,,"0,62",0,carvi,carvis
casarecce,,,,,,,,,,casarecce,casarecces
cassi,,"1,33","0,86","9,68","9,68","5,8",,"0,14",0,cassi,cassis
cassonade,,,,,,,,,,cassonade,cassonades
cassoulet,539,"8,06","5,77","9,41","1,06","3,55",,"2,07","21,3",cassoulet,cassoulets
cava,,,,,,,,,,cava,cavas
caviar,,"0,71",21,"4,3","1,85","2,93",,"0,65",,caviar,caviars
cendre,0,0,0,0,0,0,,0,0,cendre,cendres
cenovi,,,,,,,,,,cenovi,cenovis
cerf,632,"30,2","3,19",0,,0,,"1,25",112,cerf,cerfs
cerfeuil,167,"3,72","0,6","3,63","0,6","2,55",,"0,22",0,cerfeuil,cerfeuils
cerise,235,"0,81","< 0,3",13,10,"1,6",,"< 0,01",0,cerise,cerises
cerneau,,12,73,5,"4,9",3,,"7,1",,cerneau,cerneaux
cervela,1150,"11,9","24,8","1,56","0,63","0,4",,"9,37","66,8",cervela,cervelas
cervelle,551,"11,5","9,63",0,,0,,"2,18",3100,cervelle,cervelles
chabichou,1230,"20,1","23,8",traces,"< 0,5",0,,"17,1","97,3",chabichou,chabichous
chablis,,,,,,,,,,chablis,chabliss
chair,1340,"14,7","29,1","0,6",,0,,,,chair,chairs
chamallow,,,,,,,,,,chamallow,chamallows
champagne,,"0,3",0,"2,81","1,4",0,,0,0,champagne,champagnes
champignon,"91,2","2,37","0,23","1,88","1,43","1,72",,"0,055",0,champignon,champignons
chanterelle,137,"2,28","0,78","2,3","1,87","4,23",,"0,5",0,chanterelle,chanterelles
chaource,1150,17,"22,9",traces,"< 0,2",0,,"15,8",83,chaource,chaources
chapelure,1560,"12,7","3,77",70,"6,9","4,5",,"0,94",0,chapelure,chapelures
chapon,923,29,"11,7",0,,0,,"3,26",86,chapon,chapons
charbon,,,,,,,,,,charbon,charbons
charcuterie,991,"19,7","17,1","1,47","0,86","0,25",,"6,61",77,charcuterie,charcuteries
charolais,,,,,,,,,,charolais,charolaiss
chartreux,123,2,"0,17",3,1,4,,"0,042",0,chartreux,chartreuxs
chatrou,,,,,,,,,,chatrou,chatrous
chaume,,,,,,,,,,chaume,chaumes
chaussée,,"0,1","0,1","4,4","4,38","0,1",,0,,chausser,chaussers
chayote,,"0,72","0,12","2,8","1,66","1,7",,"0,028",0,chayote,chayotes
cheddar,1660,"23,6","33,8",traces,0,0,,"19,5",102,cheddar,cheddars
chermouler,,,,,,,,,,chermouler,chermoulers
chester,,,,,,,,,,chester,chesters
cheval,711,"28,2","6,24",traces,,0,,"1,99",,cheval,chevaux
cheveu,,,,,,,,,,cheveu,cheveux
chevreau,573,"27,1","3,03",0,0,0,,"0,93",75,chevreau,chevreaux
chevreuil,632,"30,2","3,19",0,,0,,"1,25",112,chevreuil,chevreuils
chevrotin,,,,,,,,,,chevrotin,chevrotins
chicorée,1350,"3,3","2,5","57,2","21,7","29,2",,"0,75",0,chicorée,chicorées
chili,494,"7,13","3,35",13,"2,58","3,56",,"1,13","14,6",chili,chilis
chimère,,,,,,,,,,chimère,chimères
chips,686,"5,56","9,9","11,7","1,22","2,7",,"1,55","99,2",chip,chips
chipiron,,,,,,,,,,chipiron,chipirons
chipolata,1170,"18,8","22,4","0,8","0,4",0,,"8,27","75,2",chipolata,chipolatas
chlorure,1480,0,"0,2","86,3",,"0,55",,"0,039",0,chlorure,chlorures
chocolat,858,"13,4","7,1","20,8","3,97","3,1",,"0,73",,chocolat,chocolats
chorizo,1970,"20,9","41,9","2,6","2,6",0,,16,111,chorizo,chorizos
chou,,"2,6","0,11","4,2","1,7","3,2",,"0,023",0,chou,chous
chou-fleur,"87,3","1,6","0,46","1,6","1,59",2,,"0,097",0,chou-fleur,chou-fleurs
chou-rave,,"1,79","0,1","2,35","2,35","3,6",,"0,013",0,chou-rave,chou-raves
chouchen,,,,,,,,,,chouchen,chouchens
chouchou,,"0,72","0,12","2,8","1,66","1,7",,"0,028",0,chouchou,chouchous
choucroute,310,"1,38","6,6","< 0,1","< 0,2","4,5",,"2,02","8,44",choucroute,choucroutes
chouquette,1590,"7,76","18,6","42,6","27,1","6,1",,"9,89",191,chouquette,chouquettes
christophine,,"1,23","0,023","4,6",,3,,,,christophine,christophines
chutney,314,"0,63","< 0,5","14,3","12,9","1,6",,"< 0,01",0,chutney,chutneys
châtaigne,,"2,13","2,23","36,5","7,86","7,45",,"0,37",0,châtaigne,châtaignes
chèvre,,"14,3","18,4","2,05","2,05",0,,"12,5","71,7",chèvre,chèvres
chêne,"59,3","1,13","< 0,5","1,03","0,6","1,8",,"< 0,01",,chêne,chênes
ciabatta,,,,,,,,,,ciabatta,ciabattas
ciboul,124,"2,57","0,52","2,1","1,75","3,19",,"0,15",0,ciboul,cibouls
ciboulette,124,"2,57","0,52","2,1","1,75","3,19",,"0,15",0,ciboulette,ciboulettes
cidre,149,"< 0,5","< 0,6","5,34","4,96",0,,,,cidre,cidres
cigal,782,"8,4",14,"6,5","1,2","1,3",,"3,4","37,3",cigal,cigaux
cigarette,,"5,29","27,5",63,38,1,,"17,5",,cigarette,cigarettes
cinq,1440,"12,4","10,4","37,7","2,14","25,9",,"4,84",0,cinq,cinqs
cinzano,,,,,,,,,,cinzano,cinzanos
citron,170,"1,13","< 0,3","3,14","2,1","4,3",,"< 0,01",0,citron,citrons
citronat,,,,,,,,,,citronat,citronats
citronnell,170,"1,13","< 0,3","3,14","2,1","4,3",,"< 0,01",0,citronnell,citronnells
citrouille,,1,"0,1",6,"2,76","0,5",,"0,052",0,citrouille,citrouilles
cive,,,,,,,,,,cive,cives
clairette,1480,0,"0,2","86,3",,"0,55",,"0,039",0,clairet,clairets
clam,420,"16,2","1,48","5,33",0,0,,"0,14","50,5",clam,clams
clou,1390,"5,97",13,"31,6","2,38","33,9",,"3,95",0,clou,clous
clovisse,,,,,,,,,,clovisse,clovisses
clémentine,200,"0,81","< 0,5","9,17","8,6","1,7",,"< 0,01",0,clémentine,clémentines
cobia,,,,,,,,,,cobia,cobias
cochon,,,,,,,,,,cochon,cochons
coco,226,"10,2","0,9","1,16",0,0,,"0,17",98,coco,cocos
coeur,420,"23,1","0,73",0,0,0,,"0,14","52,1",coeur,coeurs
cognac,945,0,0,1,0,0,,,0,cognac,cognacs
coing,,"0,51","0,1","13,4","6,3","1,9",,"0,0085",0,coing,coings
cointreau,,,,,,,,,,cointreau,cointreaux
cola,131,"0,089","0,059","7,45","7,41","0,00084",,0,0,cola,colas
coleslaw,435,"0,94","8,1","5,78","4,72",3,,"0,63",,coleslaw,coleslaws
colin,425,"24,4","< 0,5",traces,0,0,,"< 0,01","70,1",colin,colins
collet,411,"22,6","0,73",0,0,0,,"0,13",77,collet,collets
collier,978,"34,9","10,4",traces,,0,,"3,5",79,collier,colliers
colorant,1400,"40,4","4,5","21,8","2,5","22,5",,"0,7","< 0,7",colorant,colorants
combava,,,,,,,,,,combava,combavas
compote,432,"0,23","0,21","24,4","20,7","1,53",,"0,017",0,compote,compotes
comté,1740,"26,7","34,6",traces,traces,0,,"22,5",115,comté,comtés
concentrer,419,"4,4","0,53","17,1","13,3","4,2",,"0,093",0,concentrer,concentrers
conchiglioni,,,,,,,,,,conchiglioni,conchiglionis
concombre,"61,6","0,56","< 0,5","2,23","1,8","0,8",,"< 0,01",0,concombre,concombres
condiment,,,,,,,,,,condiment,condiments
confisuc,,,,,,,,,,confisuc,confisucs
confit,1270,"< 0,5","< 0,3","72,3","62,9","3,3",,0,0,confit,confits
confiture,1060,"< 0,5","0,5","60,5","60,1","0,7",,"0,11",,confiture,confitures
congre,481,"18,3","4,6",traces,0,0,,,78,congre,congres
consommer,908,"25,1",13,0,0,0,,"3,24",109,consommer,consommers
contre-filet,0,0,0,0,0,0,,0,0,contre-filet,contre-filets
cookie,,"6,47","25,9",59,"31,5","3,38",,"12,9","17,3",cookie,cookies
copeau,,"6,16","34,2","57,1",56,1,,"21,3",23,copeau,copeaux
coppa,1180,25,20,1,"0,5",0,,"6,83",,coppa,coppas
coq,555,13,7,4,1,"0,9",,1,65,coq,coqs
coque,1650,"9,77","4,93","75,5","23,7","4,33",,"0,83",,coqu,coqus
coquelet,,,,,,,,,,coquelet,coquelets
coquelicot,,,,,,,,,,coquelicot,coquelicots
coquille,354,"17,9","0,84","1,15",0,0,,"0,094",38,coquill,coquills
coquillette,1400,"12,6","1,79","65,8","2,12",3,,"0,37",0,coquillette,coquillettes
cordon,944,14,"12,2","14,6","2,2","0,78",,"3,2","37,5",cordon,cordons
coriandre,1430,"12,4","17,8",13,,"41,9",,"0,97",0,coriandre,coriandres
corn,1600,"7,4","0,87","83,2","9,53","3,48",,"0,28",0,corn,corns
corned,787,"23,1","10,5","< 0,1","< 0,2","< 1,5",,"4,54","75,5",corned,corneds
cornet,,"7,5",5,"80,4","25,6",2,,"4,1",,cornet,cornets
cornette,,"7,5",5,"80,4","25,6",2,,"4,1",,cornette,cornettes
cornichon,"81,9","1,06","< 0,6","0,78","0,6","1,5",,"< 0,01",0,cornichon,cornichons
corossol,,"0,65","0,43",,,,,,,corossol,corossols
cosse,,"5,15","0,27","7,95","4,65","5,5",,"0,049",0,cosse,cosses
cottage,,,,,,,,,,cottage,cottages
couche,118,"2,62","0,36","3,15","2,5",1,,"0,067",0,couche,couches
coude,,,,,,,,,,coude,coudes
couenne,1410,"7,25",24,"21,7","1,9","3,4",,"5,28","49,3",couenne,couennes
coulemell,,,,,,,,,,coulemell,coulemells
coulis,1050,"< 0,5","0,3","59,7","56,8","1,1",,"0,041",0,coulis,couliss
coulommier,1160,"18,4","22,8",traces,0,0,,"15,8",85,coulommier,coulommiers
